name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Peacehaven, England, United Kingdom",2023-07-20,71,55,63.5,71,55,63.5,52.5,69.2,0,0,0,,0,0,17.3,11.3,279.3,1015.2,49.8,21,248.2,21.5,10,,2023-07-20T05:09:34,2023-07-20T21:02:30,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-21,67,52.7,61.1,67,52.7,61.1,50.7,69.3,0,0,0,,0,0,19.9,12.5,280.9,1014.2,60.7,17.1,199,17.1,10,,2023-07-21T05:10:51,2023-07-21T21:01:19,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-22,64.5,52.8,58.7,64.5,52.8,58.7,54.4,85.8,0.275,100,45.83,rain,0,0,30.5,19,228.5,1012.1,87.2,11.8,105.2,9.2,6,,2023-07-22T05:12:08,2023-07-22T21:00:06,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-23,69.4,60.2,64,69.4,60.2,64,59.4,85.6,0.142,100,33.33,rain,0,0,32.4,21.2,228.8,1004.7,83.5,14.4,147.8,12.7,5,,2023-07-23T05:13:27,2023-07-23T20:58:51,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-24,64.8,56.5,60.4,64.8,56.5,60.4,56.1,86.1,0.118,100,41.67,rain,0,0,15.4,10.1,327.6,1005.3,90.9,15.4,123.7,10.6,5,,2023-07-24T05:14:46,2023-07-24T20:57:33,0.22,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,remote,03876099999"
"Peacehaven, England, United Kingdom",2023-07-25,65.7,53,59.6,65.7,53,59.6,52.7,79.3,0.308,100,33.33,rain,0,0,19.2,12.4,294.4,1010.5,77.6,17.1,114.8,10,6,,2023-07-25T05:16:07,2023-07-25T20:56:13,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-26,67.7,48.4,59.1,67.7,47.5,59.1,52.3,79.7,0.279,100,20.83,rain,0,0,21.5,13.9,223.4,1012.7,51.8,17,229.2,19.7,9,,2023-07-26T05:17:29,2023-07-26T20:54:51,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-27,64.9,61,63.1,64.9,61,63.1,61.9,95.9,0.391,100,70.83,rain,0,0,36.9,25.3,234.7,1005,99.2,6.5,37.2,3.3,1,,2023-07-27T05:18:52,2023-07-27T20:53:27,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,remote,03876099999"
"Peacehaven, England, United Kingdom",2023-07-28,69,62.7,64.7,69,62.7,64.7,61.1,88.3,0.014,100,8.33,rain,0,0,22.6,15.3,236.6,1006.7,92.8,17.4,154.5,13.5,7,,2023-07-28T05:20:15,2023-07-28T20:52:00,0.36,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
"Peacehaven, England, United Kingdom",2023-07-29,69.1,60.2,64.6,69.1,60.2,64.6,58.2,80.4,0.013,100,16.67,rain,0,0,29.8,19.9,238.2,1007.4,63.8,15.7,300.3,25.8,9,,2023-07-29T05:21:40,2023-07-29T20:50:32,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03882099999,03872099999,03781099999,03768099999,E8153,03876099999"
